Sr. No.,PS-SR#,Cable SR#,Description,Times Part No.,Length ,Connector - A,Connector-B
31,PS-RFCBL-31,MG200-SMVSMV-2.0M-3,Maxgain 200 TVAC low loss cable assemblies with both end SMA Male connectors for 2 Meter length,MG200-SMVSMV-2.0M,2,SMA-Plug,SMA-Plug
32,PS-RFCBL-32,IBS086-SMSM-1.0F-1,Instabend Space 086 cable assemblies for 1 feet length with both end SMA Male connectors,IBS086-SMSM-1.0F,0.3,SMA-Plug,SMA-Plug
33,PS-RFCBL-33,IBS086-SMSM-1.0F-2,Instabend Space 086 cable assemblies for 1 feet length with both end SMA Male connectors,IBS086-SMSM-1.0F,0.3,SMA-Plug,SMA-Plug
34,PS-RFCBL-34,IBS086-SMSM-1.0F-3,Instabend Space 086 cable assemblies for 1 feet length with both end SMA Male connectors,IBS086-SMSM-1.0F,0.3,SMA-Plug,SMA-Plug
35,PS-RFCBL-35,IBS086-SMSM-1.0F-4,Instabend Space 086 cable assemblies for 1 feet length with both end SMA Male connectors,IBS086-SMSM-1.0F,0.3,SMA-Plug,SMA-Plug
36,PS-RFCBL-36,IBS086-SMSM-1.0F-5,Instabend Space 086 cable assemblies for 1 feet length with both end SMA Male connectors,IBS086-SMSM-1.0F,0.3,SMA-Plug,SMA-Plug
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
